name	indName	averagePayroll
abbeville county	Accommodation and food services	5466000
abbeville county	Administrative and support and waste management and remediation services	3438000
abbeville county	Agriculture, forestry, fishing and hunting	722000
abbeville county	Construction	6012000
abbeville county	Educational services	7519000
abbeville county	Finance and insurance	3037000
abbeville county	Health care and social assistance	19159000
abbeville county	Information	7041000
abbeville county	Manufacturing	84116000
abbeville county	Other services (except public administration)	4369000
abbeville county	Professional, scientific, and technical services	1277000
abbeville county	Real estate and rental and leasing	258000
abbeville county	Retail trade	8586000
abbeville county	Transportation and warehousing	980000
abbeville county	Wholesale trade	5361000
acadia parish	Accommodation and food services	17184000
acadia parish	Administrative and support and waste management and remediation services	21072000
acadia parish	Agriculture, forestry, fishing and hunting	1137000
acadia parish	Arts, entertainment, and recreation	932000
acadia parish	Construction	45635000
acadia parish	Educational services	5259000
acadia parish	Finance and insurance	17888000
acadia parish	Health care and social assistance	76412000
acadia parish	Information	3834000
acadia parish	Management of companies and enterprises	10673000
acadia parish	Manufacturing	46577000
acadia parish	Mining, quarrying, and oil and gas extraction	32511000
acadia parish	Other services (except public administration)	9751000
acadia parish	Professional, scientific, and technical services	12986000
acadia parish	Real estate and rental and leasing	20918000
acadia parish	Retail trade	60863000
acadia parish	Transportation and warehousing	18913000
acadia parish	Utilities	4295000
acadia parish	Wholesale trade	31297000
accomack county	Accommodation and food services	19757000
accomack county	Administrative and support and waste management and remediation services	10546000
accomack county	Agriculture, forestry, fishing and hunting	923000
accomack county	Arts, entertainment, and recreation	1925000
accomack county	Construction	11391000
accomack county	Educational services	778000
accomack county	Finance and insurance	11315000
accomack county	Health care and social assistance	39730000
accomack county	Information	4002000
accomack county	Manufacturing	107122000
accomack county	Other services (except public administration)	9279000
accomack county	Professional, scientific, and technical services	23553000
accomack county	Real estate and rental and leasing	2496000
accomack county	Retail trade	31145000
accomack county	Transportation and warehousing	3852000
accomack county	Utilities	7531000
accomack county	Wholesale trade	5922000
ada county	Accommodation and food services	424628000
ada county	Administrative and support and waste management and remediation services	515000000
ada county	Agriculture, forestry, fishing and hunting	899000
ada county	Arts, entertainment, and recreation	73401000
ada county	Construction	856197000
ada county	Educational services	93015000
ada county	Finance and insurance	725487000
ada county	Health care and social assistance	2072782000
ada county	Industries not classified	469000
ada county	Information	397653000
ada county	Management of companies and enterprises	571537000
ada county	Manufacturing	1454958000
ada county	Mining, quarrying, and oil and gas extraction	3665000
ada county	Other services (except public administration)	275078000
ada county	Professional, scientific, and technical services	973799000
ada county	Real estate and rental and leasing	177341000
ada county	Retail trade	822159000
ada county	Transportation and warehousing	318651000
ada county	Utilities	222034000
ada county	Wholesale trade	1048036000
adair county	Accommodation and food services	2412000
adair county	Accommodation and food services	3913000
adair county	Accommodation and food services	4962000
adair county	Accommodation and food services	16209000
adair county	Administrative and support and waste management and remediation services	688000
adair county	Administrative and support and waste management and remediation services	3171000
adair county	Administrative and support and waste management and remediation services	3592000
adair county	Administrative and support and waste management and remediation services	6756000
adair county	Arts, entertainment, and recreation	298000
adair county	Arts, entertainment, and recreation	1071000
adair county	Construction	2007000
adair county	Construction	5112000
adair county	Construction	7639000
adair county	Construction	8442000
adair county	Educational services	36397000
adair county	Finance and insurance	3849000
adair county	Finance and insurance	4278000
adair county	Finance and insurance	8826000
adair county	Finance and insurance	15120000
adair county	Health care and social assistance	9417000
adair county	Health care and social assistance	17777000
adair county	Health care and social assistance	18315000
adair county	Health care and social assistance	79831000
adair county	Industries not classified	132000
adair county	Information	164000
adair county	Information	623000
adair county	Information	1193000
adair county	Information	4894000
adair county	Management of companies and enterprises	3104000
adair county	Manufacturing	11529000
adair county	Manufacturing	15367000
adair county	Manufacturing	39418000
adair county	Manufacturing	43231000
adair county	Mining, quarrying, and oil and gas extraction	432000
adair county	Other services (except public administration)	965000
adair county	Other services (except public administration)	1931000
adair county	Other services (except public administration)	2646000
adair county	Other services (except public administration)	8253000
adair county	Professional, scientific, and technical services	1224000
adair county	Professional, scientific, and technical services	1837000
adair county	Professional, scientific, and technical services	2081000
adair county	Professional, scientific, and technical services	4511000
adair county	Real estate and rental and leasing	216000
adair county	Real estate and rental and leasing	294000
adair county	Real estate and rental and leasing	449000
adair county	Real estate and rental and leasing	2360000
adair county	Retail trade	4601000
adair county	Retail trade	10546000
adair county	Retail trade	21221000
adair county	Retail trade	33859000
adair county	Transportation and warehousing	2320000
adair county	Transportation and warehousing	4970000
adair county	Transportation and warehousing	5778000
adair county	Transportation and warehousing	6462000
adair county	Wholesale trade	2419000
adair county	Wholesale trade	2530000
adair county	Wholesale trade	4497000
adair county	Wholesale trade	5426000
adams county	Accommodation and food services	534000
adams county	Accommodation and food services	630000
adams county	Accommodation and food services	947000
adams county	Accommodation and food services	6519000
adams county	Accommodation and food services	6840000
adams county	Accommodation and food services	11542000
adams county	Accommodation and food services	18665000
adams county	Accommodation and food services	22281000
adams county	Accommodation and food services	24992000
adams county	Accommodation and food services	42834000
adams county	Accommodation and food services	71417000
adams county	Accommodation and food services	417299000
adams county	Administrative and support and waste management and remediation services	164000
adams county	Administrative and support and waste management and remediation services	403000
adams county	Administrative and support and waste management and remediation services	718000
adams county	Administrative and support and waste management and remediation services	1238000
adams county	Administrative and support and waste management and remediation services	2438000
adams county	Administrative and support and waste management and remediation services	7683000
adams county	Administrative and support and waste management and remediation services	12615000
adams county	Administrative and support and waste management and remediation services	22661000
adams county	Administrative and support and waste management and remediation services	27538000
adams county	Administrative and support and waste management and remediation services	29999000
adams county	Administrative and support and waste management and remediation services	447031000
adams county	Agriculture, forestry, fishing and hunting	270000
adams county	Agriculture, forestry, fishing and hunting	431000
adams county	Agriculture, forestry, fishing and hunting	630000
adams county	Agriculture, forestry, fishing and hunting	1018000
adams county	Agriculture, forestry, fishing and hunting	2040000
adams county	Agriculture, forestry, fishing and hunting	2824000
adams county	Agriculture, forestry, fishing and hunting	4041000
adams county	Agriculture, forestry, fishing and hunting	13340000
adams county	Arts, entertainment, and recreation	396000
adams county	Arts, entertainment, and recreation	405000
adams county	Arts, entertainment, and recreation	423000
adams county	Arts, entertainment, and recreation	705000
adams county	Arts, entertainment, and recreation	935000
adams county	Arts, entertainment, and recreation	2005000
adams county	Arts, entertainment, and recreation	6287000
adams county	Arts, entertainment, and recreation	6485000
adams county	Arts, entertainment, and recreation	7645000
adams county	Arts, entertainment, and recreation	37593000
adams county	Construction	548000
adams county	Construction	620000
adams county	Construction	1535000
adams county	Construction	3538000
adams county	Construction	6517000
adams county	Construction	8360000
adams county	Construction	12707000
adams county	Construction	19792000
adams county	Construction	39415000
adams county	Construction	62994000
adams county	Construction	90803000
adams county	Construction	1606910000
adams county	Educational services	629000
adams county	Educational services	1425000
adams county	Educational services	5338000
adams county	Educational services	11770000
adams county	Educational services	13831000
adams county	Educational services	57537000
adams county	Educational services	82286000
adams county	Finance and insurance	308000
adams county	Finance and insurance	903000
adams county	Finance and insurance	1543000
adams county	Finance and insurance	1858000
adams county	Finance and insurance	4123000
adams county	Finance and insurance	6749000
adams county	Finance and insurance	13225000
adams county	Finance and insurance	15452000
adams county	Finance and insurance	22827000
adams county	Finance and insurance	25783000
adams county	Finance and insurance	76450000
adams county	Finance and insurance	240949000
adams county	Health care and social assistance	1813000
adams county	Health care and social assistance	9321000
adams county	Health care and social assistance	11041000
adams county	Health care and social assistance	14025000
adams county	Health care and social assistance	36252000
adams county	Health care and social assistance	42255000
adams county	Health care and social assistance	54717000
adams county	Health care and social assistance	77957000
adams county	Health care and social assistance	135760000
adams county	Health care and social assistance	216887000
adams county	Health care and social assistance	354105000
adams county	Health care and social assistance	1414329000
adams county	Industries not classified	181000
adams county	Information	160000
adams county	Information	249000
adams county	Information	269000
adams county	Information	471000
adams county	Information	1406000
adams county	Information	4459000
adams county	Information	5834000
adams county	Information	7235000
adams county	Information	7903000
adams county	Information	20329000
adams county	Information	169576000
adams county	Management of companies and enterprises	1107000
adams county	Management of companies and enterprises	22917000
adams county	Management of companies and enterprises	74908000
adams county	Management of companies and enterprises	96006000
adams county	Manufacturing	4795000
adams county	Manufacturing	10151000
adams county	Manufacturing	27971000
adams county	Manufacturing	40701000
adams county	Manufacturing	59598000
adams county	Manufacturing	62366000
adams county	Manufacturing	130323000
adams county	Manufacturing	252421000
adams county	Manufacturing	290830000
adams county	Manufacturing	321466000
adams county	Manufacturing	766078000
adams county	Mining, quarrying, and oil and gas extraction	4714000
adams county	Mining, quarrying, and oil and gas extraction	11775000
adams county	Mining, quarrying, and oil and gas extraction	43522000
adams county	Mining, quarrying, and oil and gas extraction	156855000
adams county	Other services (except public administration)	253000
adams county	Other services (except public administration)	569000
adams county	Other services (except public administration)	608000
adams county	Other services (except public administration)	3384000
adams county	Other services (except public administration)	3658000
adams county	Other services (except public administration)	3940000
adams county	Other services (except public administration)	7914000
adams county	Other services (except public administration)	10361000
adams county	Other services (except public administration)	13906000
adams county	Other services (except public administration)	41289000
adams county	Other services (except public administration)	42181000
adams county	Other services (except public administration)	250014000
adams county	Professional, scientific, and technical services	901000
adams county	Professional, scientific, and technical services	1166000
adams county	Professional, scientific, and technical services	1267000
adams county	Professional, scientific, and technical services	1814000
adams county	Professional, scientific, and technical services	1818000
adams county	Professional, scientific, and technical services	3616000
adams county	Professional, scientific, and technical services	7997000
adams county	Professional, scientific, and technical services	10924000
adams county	Professional, scientific, and technical services	11018000
adams county	Professional, scientific, and technical services	30627000
adams county	Professional, scientific, and technical services	31764000
adams county	Professional, scientific, and technical services	473849000
adams county	Real estate and rental and leasing	150000
adams county	Real estate and rental and leasing	609000
adams county	Real estate and rental and leasing	888000
adams county	Real estate and rental and leasing	1113000
adams county	Real estate and rental and leasing	3652000
adams county	Real estate and rental and leasing	3713000
adams county	Real estate and rental and leasing	3731000
adams county	Real estate and rental and leasing	7788000
adams county	Real estate and rental and leasing	8193000
adams county	Real estate and rental and leasing	148142000
adams county	Retail trade	2638000
adams county	Retail trade	2676000
adams county	Retail trade	4460000
adams county	Retail trade	15253000
adams county	Retail trade	16662000
adams county	Retail trade	20731000
adams county	Retail trade	40192000
adams county	Retail trade	49457000
adams county	Retail trade	50063000
adams county	Retail trade	92598000
adams county	Retail trade	114527000
adams county	Retail trade	747474000
adams county	Transportation and warehousing	337000
adams county	Transportation and warehousing	511000
adams county	Transportation and warehousing	1002000
adams county	Transportation and warehousing	1326000
adams county	Transportation and warehousing	3372000
adams county	Transportation and warehousing	8669000
adams county	Transportation and warehousing	14131000
adams county	Transportation and warehousing	14176000
adams county	Transportation and warehousing	29718000
adams county	Transportation and warehousing	41060000
adams county	Transportation and warehousing	44051000
adams county	Transportation and warehousing	964566000
adams county	Utilities	2803000
adams county	Utilities	3353000
adams county	Utilities	7528000
adams county	Utilities	13362000
adams county	Utilities	138014000
adams county	Wholesale trade	3406000
adams county	Wholesale trade	3842000
adams county	Wholesale trade	3936000
adams county	Wholesale trade	4746000
adams county	Wholesale trade	12003000
adams county	Wholesale trade	14692000
adams county	Wholesale trade	38540000
adams county	Wholesale trade	41288000
adams county	Wholesale trade	47108000
adams county	Wholesale trade	110382000
adams county	Wholesale trade	1193566000
addison county	Accommodation and food services	27876000
addison county	Administrative and support and waste management and remediation services	14183000
addison county	Agriculture, forestry, fishing and hunting	1104000
addison county	Arts, entertainment, and recreation	3144000
addison county	Construction	45897000
addison county	Educational services	116909000
addison county	Finance and insurance	18851000
addison county	Health care and social assistance	92588000
addison county	Industries not classified	107000
addison county	Information	1806000
addison county	Manufacturing	97579000
addison county	Mining, quarrying, and oil and gas extraction	1400000
addison county	Other services (except public administration)	18591000
addison county	Professional, scientific, and technical services	19613000
addison county	Real estate and rental and leasing	3181000
addison county	Retail trade	66954000
addison county	Transportation and warehousing	11559000
addison county	Utilities	3628000
addison county	Wholesale trade	20554000
aiken county	Accommodation and food services	87275000
aiken county	Administrative and support and waste management and remediation services	706918000
aiken county	Agriculture, forestry, fishing and hunting	5262000
aiken county	Arts, entertainment, and recreation	16562000
aiken county	Construction	136072000
aiken county	Educational services	12999000
aiken county	Finance and insurance	58153000
aiken county	Health care and social assistance	253733000
aiken county	Industries not classified	172000
aiken county	Information	23494000
aiken county	Management of companies and enterprises	9001000
aiken county	Manufacturing	580035000
aiken county	Mining, quarrying, and oil and gas extraction	7036000
aiken county	Other services (except public administration)	62019000
aiken county	Professional, scientific, and technical services	166991000
aiken county	Real estate and rental and leasing	14992000
aiken county	Retail trade	177764000
aiken county	Transportation and warehousing	72757000
aiken county	Utilities	29861000
aiken county	Wholesale trade	32323000
aitkin county	Accommodation and food services	9224000
aitkin county	Administrative and support and waste management and remediation services	2609000
aitkin county	Agriculture, forestry, fishing and hunting	759000
aitkin county	Arts, entertainment, and recreation	803000
aitkin county	Construction	9594000
aitkin county	Finance and insurance	3665000
aitkin county	Health care and social assistance	40069000
aitkin county	Information	393000
aitkin county	Manufacturing	19634000
aitkin county	Other services (except public administration)	3364000
aitkin county	Professional, scientific, and technical services	1418000
aitkin county	Real estate and rental and leasing	589000
aitkin county	Retail trade	15481000
aitkin county	Transportation and warehousing	4093000
aitkin county	Wholesale trade	7775000
alachua county	Accommodation and food services	232934000
alachua county	Administrative and support and waste management and remediation services	140602000
alachua county	Agriculture, forestry, fishing and hunting	4863000
alachua county	Arts, entertainment, and recreation	20020000
alachua county	Construction	227233000
alachua county	Educational services	62720000
alachua county	Finance and insurance	257857000
alachua county	Health care and social assistance	1656527000
alachua county	Industries not classified	195000
alachua county	Information	142165000
alachua county	Management of companies and enterprises	90511000
alachua county	Manufacturing	233529000
alachua county	Other services (except public administration)	180464000
alachua county	Professional, scientific, and technical services	382412000
alachua county	Real estate and rental and leasing	77695000
alachua county	Retail trade	362083000
alachua county	Transportation and warehousing	132835000
alachua county	Utilities	27014000
alachua county	Wholesale trade	205664000
alamance county	Accommodation and food services	116851000
alamance county	Administrative and support and waste management and remediation services	97800000
alamance county	Agriculture, forestry, fishing and hunting	390000
alamance county	Arts, entertainment, and recreation	10674000
alamance county	Construction	175401000
alamance county	Educational services	127898000
alamance county	Finance and insurance	97924000
alamance county	Health care and social assistance	678213000
alamance county	Industries not classified	49000
alamance county	Information	23664000
alamance county	Management of companies and enterprises	97510000
alamance county	Manufacturing	403527000
alamance county	Other services (except public administration)	67346000
alamance county	Professional, scientific, and technical services	72539000
alamance county	Real estate and rental and leasing	20725000
alamance county	Retail trade	236881000
alamance county	Transportation and warehousing	87811000
alamance county	Utilities	9677000
alamance county	Wholesale trade	127095000
alameda county	Accommodation and food services	1710544000
alameda county	Administrative and support and waste management and remediation services	1961807000
alameda county	Agriculture, forestry, fishing and hunting	4270000
alameda county	Arts, entertainment, and recreation	701831000
alameda county	Construction	4465285000
alameda county	Educational services	761356000
alameda county	Finance and insurance	2375239000
alameda county	Health care and social assistance	7210668000
alameda county	Industries not classified	2330000
alameda county	Information	5480053000
alameda county	Management of companies and enterprises	2588480000
alameda county	Manufacturing	7738045000
alameda county	Mining, quarrying, and oil and gas extraction	19147000
alameda county	Other services (except public administration)	1353581000
alameda county	Professional, scientific, and technical services	8095220000
alameda county	Real estate and rental and leasing	766130000
alameda county	Retail trade	2618189000
alameda county	Transportation and warehousing	1904686000
alameda county	Utilities	193605000
alameda county	Wholesale trade	4052987000
alamosa county	Accommodation and food services	15241000
alamosa county	Administrative and support and waste management and remediation services	4043000
alamosa county	Arts, entertainment, and recreation	1170000
alamosa county	Construction	17331000
alamosa county	Educational services	555000
alamosa county	Finance and insurance	22510000
alamosa county	Health care and social assistance	76403000
alamosa county	Information	4763000
alamosa county	Manufacturing	3811000
alamosa county	Other services (except public administration)	5520000
alamosa county	Professional, scientific, and technical services	6871000
alamosa county	Real estate and rental and leasing	2784000
alamosa county	Retail trade	35214000
alamosa county	Transportation and warehousing	6326000
alamosa county	Utilities	5322000
alamosa county	Wholesale trade	8496000
albany county	Accommodation and food services	30855000
albany county	Accommodation and food services	341138000
albany county	Administrative and support and waste management and remediation services	7322000
albany county	Administrative and support and waste management and remediation services	367091000
albany county	Agriculture, forestry, fishing and hunting	316000
albany county	Agriculture, forestry, fishing and hunting	432000
albany county	Arts, entertainment, and recreation	2557000
albany county	Arts, entertainment, and recreation	72324000
albany county	Construction	30986000
albany county	Construction	607684000
albany county	Educational services	2801000
albany county	Educational services	452752000
albany county	Finance and insurance	29354000
albany county	Finance and insurance	1138778000
albany county	Health care and social assistance	91907000
albany county	Health care and social assistance	1976797000
albany county	Industries not classified	82000
albany county	Industries not classified	414000
albany county	Information	4259000
albany county	Information	426603000
albany county	Management of companies and enterprises	191904000
albany county	Manufacturing	29849000
albany county	Manufacturing	536085000
albany county	Mining, quarrying, and oil and gas extraction	794000
albany county	Mining, quarrying, and oil and gas extraction	39429000
albany county	Other services (except public administration)	12946000
albany county	Other services (except public administration)	430872000
albany county	Professional, scientific, and technical services	46361000
albany county	Professional, scientific, and technical services	1455363000
albany county	Real estate and rental and leasing	4828000
albany county	Real estate and rental and leasing	133411000
albany county	Retail trade	40772000
albany county	Retail trade	690068000
albany county	Transportation and warehousing	8699000
albany county	Transportation and warehousing	244420000
albany county	Utilities	3648000
albany county	Utilities	70475000
albany county	Wholesale trade	6787000
albany county	Wholesale trade	557333000
albemarle county	Accommodation and food services	101700000
albemarle county	Administrative and support and waste management and remediation services	68076000
albemarle county	Agriculture, forestry, fishing and hunting	4094000
albemarle county	Arts, entertainment, and recreation	41278000
albemarle county	Construction	122424000
albemarle county	Educational services	28887000
albemarle county	Finance and insurance	212574000
albemarle county	Health care and social assistance	585961000
albemarle county	Industries not classified	124000
albemarle county	Information	45526000
albemarle county	Management of companies and enterprises	36903000
albemarle county	Manufacturing	156587000
albemarle county	Mining, quarrying, and oil and gas extraction	4243000
albemarle county	Other services (except public administration)	59625000
albemarle county	Professional, scientific, and technical services	327988000
albemarle county	Real estate and rental and leasing	41952000
albemarle county	Retail trade	216284000
albemarle county	Transportation and warehousing	24090000
albemarle county	Wholesale trade	25720000
alcona county	Accommodation and food services	2134000
alcona county	Administrative and support and waste management and remediation services	896000
alcona county	Agriculture, forestry, fishing and hunting	2651000
alcona county	Arts, entertainment, and recreation	1559000
alcona county	Construction	1882000
alcona county	Finance and insurance	1044000
alcona county	Health care and social assistance	6563000
alcona county	Industries not classified	52000
alcona county	Manufacturing	8960000
alcona county	Other services (except public administration)	812000
alcona county	Professional, scientific, and technical services	1392000
alcona county	Real estate and rental and leasing	210000
alcona county	Retail trade	7567000
alcona county	Wholesale trade	305000
alcorn county	Accommodation and food services	19508000
alcorn county	Administrative and support and waste management and remediation services	39236000
alcorn county	Agriculture, forestry, fishing and hunting	825000
alcorn county	Arts, entertainment, and recreation	1076000
alcorn county	Construction	9846000
alcorn county	Educational services	823000
alcorn county	Finance and insurance	14302000
alcorn county	Health care and social assistance	96546000
alcorn county	Information	6320000
alcorn county	Manufacturing	153007000
alcorn county	Other services (except public administration)	9055000
alcorn county	Professional, scientific, and technical services	42384000
alcorn county	Real estate and rental and leasing	9278000
alcorn county	Retail trade	57466000
alcorn county	Transportation and warehousing	7644000
alcorn county	Utilities	5737000
alcorn county	Wholesale trade	28707000
aleutians east borough	Accommodation and food services	381000
aleutians east borough	Administrative and support and waste management and remediation services	245000
aleutians east borough	Agriculture, forestry, fishing and hunting	374000
aleutians east borough	Health care and social assistance	2805000
aleutians east borough	Manufacturing	97786000
aleutians east borough	Other services (except public administration)	166000
aleutians east borough	Real estate and rental and leasing	487000
aleutians east borough	Retail trade	1139000
aleutians east borough	Transportation and warehousing	637000
aleutians east borough	Utilities	896000
aleutians west census area	Accommodation and food services	3796000
aleutians west census area	Administrative and support and waste management and remediation services	704000
aleutians west census area	Agriculture, forestry, fishing and hunting	832000
aleutians west census area	Construction	5556000
aleutians west census area	Health care and social assistance	5485000
aleutians west census area	Information	1604000
aleutians west census area	Manufacturing	87145000
aleutians west census area	Other services (except public administration)	1817000
aleutians west census area	Professional, scientific, and technical services	772000
aleutians west census area	Real estate and rental and leasing	2164000
aleutians west census area	Retail trade	6762000
aleutians west census area	Transportation and warehousing	29525000
aleutians west census area	Wholesale trade	14665000
alexander county	Accommodation and food services	944000
alexander county	Accommodation and food services	7074000
alexander county	Administrative and support and waste management and remediation services	80000
alexander county	Administrative and support and waste management and remediation services	6440000
alexander county	Arts, entertainment, and recreation	1010000
alexander county	Construction	303000
alexander county	Construction	8138000
alexander county	Finance and insurance	371000
alexander county	Finance and insurance	7308000
alexander county	Health care and social assistance	5556000
alexander county	Health care and social assistance	16767000
alexander county	Information	378000
alexander county	Information	504000
alexander county	Manufacturing	3263000
alexander county	Manufacturing	181945000
alexander county	Mining, quarrying, and oil and gas extraction	362000
alexander county	Other services (except public administration)	1094000
alexander county	Other services (except public administration)	8062000
alexander county	Professional, scientific, and technical services	1163000
alexander county	Professional, scientific, and technical services	4021000
alexander county	Real estate and rental and leasing	441000
alexander county	Retail trade	1281000
alexander county	Retail trade	19875000
alexander county	Transportation and warehousing	10026000
alexander county	Transportation and warehousing	15484000
alexander county	Wholesale trade	144000
alexander county	Wholesale trade	3976000
alexandria city	Accommodation and food services	213354000
alexandria city	Administrative and support and waste management and remediation services	611325000
alexandria city	Arts, entertainment, and recreation	37749000
alexandria city	Construction	134482000
alexandria city	Educational services	91466000
alexandria city	Finance and insurance	327921000
alexandria city	Health care and social assistance	434209000
alexandria city	Industries not classified	540000
alexandria city	Information	216436000
alexandria city	Management of companies and enterprises	76445000
alexandria city	Manufacturing	74758000
alexandria city	Other services (except public administration)	862433000
alexandria city	Professional, scientific, and technical services	1842016000
alexandria city	Real estate and rental and leasing	86732000
alexandria city	Retail trade	270310000
alexandria city	Transportation and warehousing	61136000
alexandria city	Utilities	18852000
alexandria city	Wholesale trade	79510000
alfalfa county	Accommodation and food services	522000
alfalfa county	Administrative and support and waste management and remediation services	729000
alfalfa county	Construction	5109000
alfalfa county	Finance and insurance	3687000
alfalfa county	Health care and social assistance	4112000
alfalfa county	Manufacturing	654000
alfalfa county	Mining, quarrying, and oil and gas extraction	6170000
alfalfa county	Other services (except public administration)	1283000
alfalfa county	Professional, scientific, and technical services	1038000
alfalfa county	Retail trade	4433000
alfalfa county	Transportation and warehousing	704000
alfalfa county	Wholesale trade	2006000
alger county	Accommodation and food services	7709000
alger county	Administrative and support and waste management and remediation services	739000
alger county	Agriculture, forestry, fishing and hunting	2250000
alger county	Arts, entertainment, and recreation	352000
alger county	Construction	4602000
alger county	Finance and insurance	3266000
alger county	Health care and social assistance	9585000
alger county	Information	3313000
alger county	Manufacturing	24561000
alger county	Other services (except public administration)	1703000
alger county	Professional, scientific, and technical services	719000
alger county	Real estate and rental and leasing	455000
alger county	Retail trade	6392000
alger county	Transportation and warehousing	1862000
alger county	Wholesale trade	4226000
allamakee county	Accommodation and food services	2411000
allamakee county	Administrative and support and waste management and remediation services	613000
allamakee county	Agriculture, forestry, fishing and hunting	247000
allamakee county	Arts, entertainment, and recreation	261000
allamakee county	Construction	11178000
allamakee county	Educational services	384000
allamakee county	Finance and insurance	9802000
allamakee county	Health care and social assistance	29259000
allamakee county	Information	480000
allamakee county	Manufacturing	40255000
allamakee county	Other services (except public administration)	4788000
allamakee county	Professional, scientific, and technical services	3656000
allamakee county	Real estate and rental and leasing	588000
allamakee county	Retail trade	13848000
allamakee county	Transportation and warehousing	2987000
allamakee county	Wholesale trade	14522000
allegan county	Accommodation and food services	60725000
allegan county	Administrative and support and waste management and remediation services	61710000
allegan county	Agriculture, forestry, fishing and hunting	5003000
allegan county	Arts, entertainment, and recreation	8917000
allegan county	Construction	150434000
allegan county	Educational services	13339000
allegan county	Finance and insurance	21530000
allegan county	Health care and social assistance	117596000
allegan county	Industries not classified	456000
allegan county	Information	3393000
allegan county	Management of companies and enterprises	132410000
allegan county	Manufacturing	755357000
allegan county	Mining, quarrying, and oil and gas extraction	2626000
allegan county	Other services (except public administration)	39312000
allegan county	Professional, scientific, and technical services	145621000
allegan county	Real estate and rental and leasing	9847000
allegan county	Retail trade	115208000
allegan county	Transportation and warehousing	58137000
allegan county	Utilities	14711000
allegan county	Wholesale trade	135580000
allegany county	Accommodation and food services	20705000
allegany county	Accommodation and food services	59393000
allegany county	Administrative and support and waste management and remediation services	4104000
allegany county	Administrative and support and waste management and remediation services	35080000
allegany county	Agriculture, forestry, fishing and hunting	147000
allegany county	Arts, entertainment, and recreation	1271000
allegany county	Arts, entertainment, and recreation	1976000
allegany county	Construction	53918000
allegany county	Construction	67013000
allegany county	Educational services	4856000
allegany county	Educational services	45795000
allegany county	Finance and insurance	7536000
allegany county	Finance and insurance	46670000
allegany county	Health care and social assistance	63823000
allegany county	Health care and social assistance	277934000
allegany county	Industries not classified	25000
allegany county	Information	3303000
allegany county	Information	26369000
allegany county	Manufacturing	102029000
allegany county	Manufacturing	113672000
allegany county	Mining, quarrying, and oil and gas extraction	966000
allegany county	Mining, quarrying, and oil and gas extraction	1026000
allegany county	Other services (except public administration)	9014000
allegany county	Other services (except public administration)	29326000
allegany county	Professional, scientific, and technical services	9947000
allegany county	Professional, scientific, and technical services	27933000
allegany county	Real estate and rental and leasing	1148000
allegany county	Real estate and rental and leasing	7591000
allegany county	Retail trade	27857000
allegany county	Retail trade	104344000
allegany county	Transportation and warehousing	3747000
allegany county	Transportation and warehousing	28375000
allegany county	Utilities	5822000
allegany county	Utilities	15251000
allegany county	Wholesale trade	6025000
allegany county	Wholesale trade	26402000
alleghany county	Accommodation and food services	4533000
alleghany county	Accommodation and food services	5761000
alleghany county	Administrative and support and waste management and remediation services	538000
alleghany county	Administrative and support and waste management and remediation services	2239000
alleghany county	Agriculture, forestry, fishing and hunting	225000
alleghany county	Arts, entertainment, and recreation	790000
alleghany county	Arts, entertainment, and recreation	4508000
alleghany county	Construction	3967000
alleghany county	Construction	5202000
alleghany county	Educational services	266000
alleghany county	Finance and insurance	1774000
alleghany county	Finance and insurance	3617000
alleghany county	Health care and social assistance	11901000
alleghany county	Health care and social assistance	33271000
alleghany county	Information	710000
alleghany county	Information	1325000
alleghany county	Manufacturing	10720000
alleghany county	Manufacturing	28682000
alleghany county	Other services (except public administration)	1680000
alleghany county	Other services (except public administration)	4790000
alleghany county	Professional, scientific, and technical services	1211000
alleghany county	Professional, scientific, and technical services	1739000
alleghany county	Real estate and rental and leasing	413000
alleghany county	Real estate and rental and leasing	500000
alleghany county	Retail trade	7162000
alleghany county	Retail trade	10484000
alleghany county	Transportation and warehousing	639000
alleghany county	Transportation and warehousing	5660000
alleghany county	Utilities	758000
alleghany county	Wholesale trade	206000
alleghany county	Wholesale trade	1180000
allegheny county	Accommodation and food services	1238301000
allegheny county	Administrative and support and waste management and remediation services	1451111000
allegheny county	Agriculture, forestry, fishing and hunting	585000
allegheny county	Arts, entertainment, and recreation	838227000
allegheny county	Construction	2222026000
allegheny county	Educational services	2407256000
allegheny county	Finance and insurance	4999461000
allegheny county	Health care and social assistance	7239667000
allegheny county	Industries not classified	1471000
allegheny county	Information	1689512000
allegheny county	Management of companies and enterprises	3584901000
allegheny county	Manufacturing	2392677000
allegheny county	Mining, quarrying, and oil and gas extraction	411464000
allegheny county	Other services (except public administration)	1015939000
allegheny county	Professional, scientific, and technical services	4893279000
allegheny county	Real estate and rental and leasing	539591000
allegheny county	Retail trade	2063787000
allegheny county	Transportation and warehousing	885005000
allegheny county	Utilities	474158000
allegheny county	Wholesale trade	1762501000
allen county	Accommodation and food services	4477000
allen county	Accommodation and food services	5975000
allen county	Accommodation and food services	71627000
allen county	Accommodation and food services	281867000
allen county	Administrative and support and waste management and remediation services	1244000
allen county	Administrative and support and waste management and remediation services	1571000
allen county	Administrative and support and waste management and remediation services	70849000
allen county	Administrative and support and waste management and remediation services	286110000
allen county	Agriculture, forestry, fishing and hunting	158000
allen county	Agriculture, forestry, fishing and hunting	562000
